Name,beta,gamma,n_shots,test_accuracy
fanciful-sweep-812,5000,10,15,0.736000025
autumn-sweep-412,10000,10,15,0.736000013
comfy-sweep-444,10000,5,15,0.730666697
true-sweep-804,5000,0.001,15,0.722666681
atomic-sweep-844,5000,5,15,0.698666686
stellar-sweep-364,1000,5,15,0.650666678
sage-sweep-332,1000,10,15,0.650666672
gallant-sweep-324,1000,0.001,15,0.621333343
swept-sweep-372,1000,25,15,0.565333351
eager-sweep-380,1000,50,15,0.557333344
blooming-sweep-396,1000,5000,15,0.549333337
dutiful-sweep-388,1000,75,15,0.544000012
jumping-sweep-348,1000,1000,15,0.536000007
dainty-sweep-356,1000,10000,15,0.504000002
summer-sweep-340,1000,100,15,0.490666676
fragrant-sweep-764,75,5,15,0.293333343
dazzling-sweep-252,100,10,15,0.29066667
hopeful-sweep-596,25,10000,15,0.288000003
effortless-sweep-636,25,5000,15,0.285333338
stoic-sweep-588,25,1000,15,0.285333335
jolly-sweep-676,50,10000,15,0.282666677
atomic-sweep-732,75,10,15,0.282666671
whole-sweep-524,5,5,15,0.282666671
distinctive-sweep-612,25,25,15,0.280000007
glamorous-sweep-492,5,10,15,0.280000004
driven-sweep-284,100,5,15,0.280000004
leafy-sweep-244,100,0.001,15,0.280000001
dutiful-sweep-628,25,75,15,0.27733334
fanciful-sweep-620,25,50,15,0.272000009
rose-sweep-316,100,5000,15,0.272000006
scarlet-sweep-756,75,10000,15,0.272000003
frosty-sweep-180,10,100,15,0.272000003
icy-sweep-100,1,100,15,0.272000003
icy-sweep-700,50,50,15,0.269333342
lucky-sweep-508,5,1000,15,0.269333339
dazzling-sweep-300,100,50,15,0.269333339
stellar-sweep-220,10,50,15,0.269333339
denim-sweep-228,10,75,15,0.266666678
sweet-sweep-484,5,0.001,15,0.266666669
robust-sweep-668,50,1000,15,0.264000008
fast-sweep-292,100,25,15,0.264000008
glowing-sweep-276,100,10000,15,0.264000008
lilac-sweep-708,50,75,15,0.264000005
breezy-sweep-532,5,25,15,0.264000005
iconic-sweep-148,1,75,15,0.264000005
rich-sweep-260,100,100,15,0.264000002
electric-sweep-772,75,25,15,0.26133334
vital-sweep-724,75,0.001,15,0.26133334
deft-sweep-660,50,100,15,0.26133334
dark-sweep-580,25,100,15,0.26133334
pious-sweep-500,5,100,15,0.26133334
youthful-sweep-796,75,5000,15,0.261333337
proud-sweep-716,50,5000,15,0.258666673
astral-sweep-684,50,5,15,0.258666673
breezy-sweep-548,5,75,15,0.258666673
ethereal-sweep-308,100,75,15,0.258666673
lunar-sweep-164,10,0.001,15,0.258666667
peach-sweep-188,10,1000,15,0.256000009
fresh-sweep-692,50,25,15,0.256000006
classic-sweep-540,5,50,15,0.256000006
glowing-sweep-740,75,100,15,0.253333339
young-sweep-172,10,10,15,0.253333336
revived-sweep-604,25,5,15,0.250666675
resilient-sweep-780,75,50,15,0.250666672
wild-sweep-84,1,0.001,15,0.250666669
earnest-sweep-788,75,75,15,0.248000008
fearless-sweep-516,5,10000,15,0.248000008
gentle-sweep-572,25,10,15,0.248000005
swept-sweep-564,25,0.001,15,0.248000005
wobbly-sweep-644,50,0.001,15,0.245333338
glad-sweep-556,5,5000,15,0.245333338
stellar-sweep-204,10,5,15,0.245333338
distinctive-sweep-108,1,1000,15,0.242666674
laced-sweep-748,75,1000,15,0.240000008
glorious-sweep-652,50,10,15,0.240000007
different-sweep-212,10,25,15,0.240000004
zesty-sweep-92,1,10,15,0.240000004
solar-sweep-268,100,1000,15,0.237333338
pretty-sweep-116,1,10000,15,0.237333336
crisp-sweep-236,10,5000,15,0.232000008
vivid-sweep-196,10,10000,15,0.229333338
pious-sweep-20,0.001,100,15,0.229333335
autumn-sweep-68,0.001,75,15,0.221333337
cerulean-sweep-60,0.001,50,15,0.216000006
upbeat-sweep-28,0.001,1000,15,0.216000003
generous-sweep-52,0.001,25,15,0.213333338
charmed-sweep-140,1,50,15,0.208000009
olive-sweep-36,0.001,10000,15,0.197333333
worthy-sweep-76,0.001,5000,15,0.194666669
royal-sweep-132,1,25,15,0.192000005
soft-sweep-124,1,5,15,0.192000005
sandy-sweep-4,0.001,0.001,15,0.189333336
pleasant-sweep-156,1,5000,15,0.176000005
wandering-sweep-12,0.001,10,15,0.176000002
sandy-sweep-44,0.001,5,15,0.149333335
fallen-sweep-837,5000,10000,20,0.881999981
genial-sweep-469,10000,75,20,0.879999995
feasible-sweep-477,10000,5000,20,0.879999983
mild-sweep-429,10000,1000,20,0.879999983
wise-sweep-437,10000,10000,20,0.879999971
