"Name","State","Notes","User","Tags","Created","Runtime","Sweep","beta","dataset","gamma","load_trained_model","meta_batch_size","meta_lr","mnist_pixels_to_permute_test","mnist_pixels_to_permute_train","n_epochs","n_shots","n_test_epochs","n_ways","per_task_lr","reset_clf_on_meta","seed","test_adapt_steps","train_adapt_steps","train_sample_size","test_accuracy","test_loss"
"absurd-sweep-807","finished","-","liorf","","2022-05-08T00:06:22.000Z","140","e4hlnb4l","5000","mnist","0.001","true","8","0.01","100","1000","100","40","10","5","0.1","false","1","10","5","10","0.8089999675750732","0.5997551560401917"
"denim-sweep-806","finished","-","liorf","","2022-05-08T00:04:03.000Z","135","e4hlnb4l","5000","mnist","0.001","true","8","0.01","100","1000","100","30","10","5","0.1","false","1","10","5","10","0.8160000205039978","0.5957342743873596"
"jolly-sweep-805","finished","-","liorf","","2022-05-08T00:01:43.000Z","132","e4hlnb4l","5000","mnist","0.001","true","8","0.01","100","1000","100","20","10","5","0.1","false","1","10","5","10","0.8339999675750732","0.5675673067569733"
"true-sweep-804","finished","-","liorf","","2022-05-07T23:59:27.000Z","132","e4hlnb4l","5000","mnist","0.001","true","8","0.01","100","1000","100","15","10","5","0.1","false","1","10","5","10","0.7226666808128357","0.8116806268692016"
"rose-sweep-803","finished","-","liorf","","2022-05-07T23:57:09.000Z","133","e4hlnb4l","5000","mnist","0.001","true","8","0.01","100","1000","100","10","10","5","0.1","false","1","10","5","10","0.7199999809265136","0.7396096467971802"
"fresh-sweep-802","finished","-","liorf","","2022-05-07T23:54:55.000Z","131","e4hlnb4l","5000","mnist","0.001","true","8","0.01","100","1000","100","5","10","5","0.1","false","1","10","5","10","0.6479999899864197","0.977383804321289"
"likely-sweep-801","finished","-","liorf","","2022-05-07T23:52:41.000Z","130","e4hlnb4l","5000","mnist","0.001","true","8","0.01","100","1000","100","2","10","5","0.1","false","1","10","5","10","0.5000000059604645","1.205833804607391"
"firm-sweep-800","finished","-","liorf","","2022-05-07T23:50:05.000Z","148","e4hlnb4l","75","mnist","5000","true","8","0.01","100","1000","100","50","10","5","0.1","false","1","10","5","10","0.20400001257658004","1.6674833297729492"
"lemon-sweep-799","finished","-","liorf","","2022-05-07T23:47:41.000Z","140","e4hlnb4l","75","mnist","5000","true","8","0.01","100","1000","100","40","10","5","0.1","false","1","10","5","10","0.1849999964237213","1.8043200254440308"
"colorful-sweep-798","finished","-","liorf","","2022-05-07T23:45:21.000Z","135","e4hlnb4l","75","mnist","5000","true","8","0.01","100","1000","100","30","10","5","0.1","false","1","10","5","10","0.1866666704416275","1.810008668899536"
"super-sweep-797","finished","-","liorf","","2022-05-07T23:43:04.000Z","131","e4hlnb4l","75","mnist","5000","true","8","0.01","100","1000","100","20","10","5","0.1","false","1","10","5","10","0.28999999463558196","1.5235848426818848"
"youthful-sweep-796","finished","-","liorf","","2022-05-07T23:40:49.000Z","132","e4hlnb4l","75","mnist","5000","true","8","0.01","100","1000","100","15","10","5","0.1","false","1","10","5","10","0.2613333374261856","1.6373938083648685"
"quiet-sweep-795","finished","-","liorf","","2022-05-07T23:38:35.000Z","130","e4hlnb4l","75","mnist","5000","true","8","0.01","100","1000","100","10","10","5","0.1","false","1","10","5","10","0.37199999690055846","1.402392315864563"
"proud-sweep-794","finished","-","liorf","","2022-05-07T23:36:15.000Z","133","e4hlnb4l","75","mnist","5000","true","8","0.01","100","1000","100","5","10","5","0.1","false","1","10","5","10","0.2959999918937683","1.6610560178756717"
"northern-sweep-793","finished","-","liorf","","2022-05-07T23:33:56.000Z","131","e4hlnb4l","75","mnist","5000","true","8","0.01","100","1000","100","2","10","5","0.1","false","1","10","5","10","0.28000001013278963","1.5508430480957032"
"eager-sweep-792","finished","-","liorf","","2022-05-07T23:31:18.000Z","153","e4hlnb4l","75","mnist","75","true","8","0.01","100","1000","100","50","10","5","0.1","false","1","10","5","10","0.18800001293420793","1.7467101573944093"
"wandering-sweep-791","finished","-","liorf","","2022-05-07T23:28:53.000Z","142","e4hlnb4l","75","mnist","75","true","8","0.01","100","1000","100","40","10","5","0.1","false","1","10","5","10","0.189999994635582","1.7435781002044677"
"earnest-sweep-790","finished","-","liorf","","2022-05-07T23:26:31.000Z","135","e4hlnb4l","75","mnist","75","true","8","0.01","100","1000","100","30","10","5","0.1","false","1","10","5","10","0.19600000679492952","1.8241508722305295"
"dainty-sweep-789","finished","-","liorf","","2022-05-07T23:24:18.000Z","130","e4hlnb4l","75","mnist","75","true","8","0.01","100","1000","100","20","10","5","0.1","false","1","10","5","10","0.3099999874830246","1.5403207778930663"
"earnest-sweep-788","finished","-","liorf","","2022-05-07T23:21:59.000Z","132","e4hlnb4l","75","mnist","75","true","8","0.01","100","1000","100","15","10","5","0.1","false","1","10","5","10","0.24800000786781312","1.6588966846466064"
"hardy-sweep-787","finished","-","liorf","","2022-05-07T23:19:42.000Z","130","e4hlnb4l","75","mnist","75","true","8","0.01","100","1000","100","10","10","5","0.1","false","1","10","5","10","0.39999998807907106","1.3744922399520874"
"solar-sweep-786","finished","-","liorf","","2022-05-07T23:17:27.000Z","131","e4hlnb4l","75","mnist","75","true","8","0.01","100","1000","100","5","10","5","0.1","false","1","10","5","10","0.30399999022483826","1.5577470779418945"
"deep-sweep-785","finished","-","liorf","","2022-05-07T23:15:05.000Z","135","e4hlnb4l","75","mnist","75","true","8","0.01","100","1000","100","2","10","5","0.1","false","1","10","5","10","0.3200000077486038","1.507925271987915"
"comic-sweep-784","finished","-","liorf","","2022-05-07T23:12:24.000Z","155","e4hlnb4l","75","mnist","50","true","8","0.01","100","1000","100","50","10","5","0.1","false","1","10","5","10","0.20560000985860824","1.688839650154114"
"earnest-sweep-783","finished","-","liorf","","2022-05-07T23:09:42.000Z","159","e4hlnb4l","75","mnist","50","true","8","0.01","100","1000","100","40","10","5","0.1","false","1","10","5","10","0.1979999989271164","1.7531524896621704"
"olive-sweep-782","finished","-","liorf","","2022-05-07T23:06:22.000Z","193","e4hlnb4l","75","mnist","50","true","8","0.01","100","1000","100","30","10","5","0.1","false","1","10","5","10","0.19600000530481335","1.8288987398147585"
"cosmic-sweep-781","finished","-","liorf","","2022-05-07T23:03:52.000Z","144","e4hlnb4l","75","mnist","50","true","8","0.01","100","1000","100","20","10","5","0.1","false","1","10","5","10","0.31399998664855955","1.5427422523498535"
"resilient-sweep-780","finished","-","liorf","","2022-05-07T23:01:22.000Z","144","e4hlnb4l","75","mnist","50","true","8","0.01","100","1000","100","15","10","5","0.1","false","1","10","5","10","0.2506666719913483","1.654278469085693"
